CaseID$,CNTYNAME,STATE,FIPST,FIPCNT,ADVCH,ARMENIAN,CPRIMBAP,DUCKRIV,FREEBAP,FREEWIL,GENBAP,NNATBAP,NORTHBAP,NSNCBAP,UAFCBAP,PRIMBAP,SOUNCBAP,UNITBAP,BUDDHIST,CHRREF,CHRCONN,CHCHRIST,CHGNAGE,CHCHRSCI,CHLVGOD,CONGREG,CONGMETH,DISCIPLE,DUNKCON,DUNKPROG,EVANASS,FREECHZ,FRHICK,FRORTH,GERMEVMA,GERMEVSY,GREEKORT,JEWISH,CJCLDS,LDSREORG,LUTHAPOS,FINNNAT,FINNSYN,LUTHGEN,LUTHGSYN,LUTHTEX,LUTHHAUG,LUTHOHIO,LUTHNORF,LUTHNORW,LUTHNORS,LUTHCONF,LUTHMICH,LUTHIOWA,LUTHDAN,LUTHUNOR,LUTHSOUT,MENNON,MENNGEN,AFRMETH,AME,AMEZION,COLMETH,METHOD,METHEPIS,METHEPS,FREEMETH,METHPROT,MORAVIAN,NONSECT,OTHER,PENTNAZ,POLISH,PRESBREF,PRESBUS,PRESBUSA,COLCUMB,CUMBPRES,UNITPRES,WELSHPRS,PROTEPIS,OTHPROT,TOTPROT,REFAMER,REFUS,REFZION,CATHOLIC,SALVARMY,SERVORTH,SEVDAYAD,SPIRIT,SWEDEVAN,UNITAR,UNITBRET,UNITEVAN,UNIVER
1,AUTAUGA,ALABAMA,1,1,0,0,57,0,0,0,0,0,0,0,0,40,4536,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459,358,0,0,103,1411,0,0,0,0,0,0,0,0,183,0,0,0,0,0,40,41,8236,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BALDWIN,ALABAMA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2026,0,0,0,0,155,0,0,0,12,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,340,25,0,156,630,0,0,0,0,300,0,0,0,125,0,0,0,0,0,203,167,4196,0,0,0,1199,0,0,0,0,0,0,0,0,0
3,BARBOUR,ALABAMA,1,3,0,0,0,0,0,0,0,0,0,0,0,125,8696,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2958,0,0,139,0,1745,0,36,0,0,0,0,0,0,573,0,0,0,0,0,115,30,14495,0,0,0,561,0,0,0,0,0,0,0,0,0
4,BIBB,ALABAMA,1,4,0,0,11,0,0,23,0,0,0,0,0,54,4980,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,264,57,0,0,1515,0,0,0,0,0,0,0,0,93,0,0,235,0,0,7,0,7759,0,0,0,756,0,0,0,0,0,0,0,0,0
5,BLOUNT,ALABAMA,1,5,0,0,0,0,0,0,0,0,0,0,0,324,2483,0,0,0,0,34,0,0,0,59,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,1009,1568,0,0,0,0,0,0,0,0,0,0,0,297,0,0,5,23,5953,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BULLOCK,ALABAMA,1,6,0,0,0,0,0,0,0,0,0,0,0,42,9983,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684,1379,180,50,306,859,0,37,0,0,0,0,0,0,290,0,0,0,0,0,41,0,14907,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BUTLER,ALABAMA,1,7,0,0,0,0,0,0,0,0,0,0,0,283,7274,0,0,0,0,114,0,0,0,72,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1675,0,0,0,1553,0,256,0,0,223,0,0,0,18,0,0,0,0,0,70,42,11519,0,0,0,562,0,0,0,0,0,0,0,0,0
8,CALHOUN/BENTON,ALABAMA,1,8,0,0,0,0,0,0,0,0,0,0,0,103,7877,0,0,0,0,0,0,0,0,155,0,581,0,0,0,0,0,0,0,0,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,36,969,534,598,2723,0,0,0,0,0,0,0,0,568,0,0,202,0,0,322,90,15032,0,0,0,759,0,0,0,0,0,0,0,0,0
9,CHAMBERS,ALABAMA,1,9,0,0,0,0,0,0,0,0,0,0,0,500,7901,0,0,0,522,0,0,0,0,68,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,0,938,2003,0,15,0,0,0,0,0,0,140,0,0,0,0,0,0,48,13265,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CHEROKEE,ALABAMA,1,10,0,0,0,0,0,0,0,0,0,0,0,25,3421,0,0,0,0,162,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25,0,295,685,1436,0,0,0,0,0,0,0,0,90,0,0,227,0,0,0,79,6517,0,0,0,0,0,0,0,0,0,0,0,0,0
